Title,Authors,Affiliations,Decision
Neuroacoustic Patterns: Constant Q Cepstral Coefficients for the Classification of Neurodegenerative Disorders,"Aastha Kachhi, Ajay Kumar Sharma, Anurag Pandey, Megha Pandey, Shashank Ojha","DAIICT, Uttar Pradesh Technical University, hcltech.com, Birla Institute of Technology and Science, Dhirubhai Ambani Institute Of Information and Communication Technology",ICLR 2025 Conference Withdrawn Submission
A Feature-Aware Federated Learning Framework for Unsupervised Anomaly Detection in 5G Networks,Saeid Sheikhi,University of Oulu,ICLR 2025 Conference Withdrawn Submission
UnoLoRA: Single Low-Rank Adaptation for Efficient Multitask Fine-tuning,"Akash Kamalesh, Anirudh Lakhotia, Gowri Srinivasa, Nischal H S, Prerana Sanjay Kulkarni","PESIT, Bangalore, India, Pes University",ICLR 2025 Conference Withdrawn Submission
"Synergistic Approach for Simultaneous Optimization of Monolingual, Cross-lingual, and Multilingual Information Retrieval","Adel Elmahdy, Amin Ahmad, Sheng-Chieh Lin","Research, Google, University of Minnesota, Minneapolis, National Chiao Tung University",Submitted to ICLR 2025
EXecution-Eval: Can language models execute real-world code?,Rob Kopel,PricewaterhouseCoopers,Submitted to ICLR 2025
The Rate-Distortion-Perception Trade-Off with Algorithmic Realism,"Deniz Gunduz, Yassine Hamdi, Aaron B. Wagner","Cornell University, École Polytechnique, Imperial College London",Submitted to ICLR 2025
Beyond Random Masking: When Dropout meets Graph Convolutional Networks,"Hao Zhu, Xiao-Ming Wu, Yuankai Luo","Chongqing University of Post and Telecommunications, Harbin Institute of Technology, Columbia University",ICLR 2025 Poster
Defining Deception in Decision Making,"Anca Dragan, Aryansh Shrivastava, Justin Svegliato, Marwa Abdulhai, Micah Carroll, Sergey Levine","University of California, Berkeley, Massachusetts Institute of Technology, University of California Berkeley, Google, Marist College",Submitted to ICLR 2025
Self-supervised contrastive learning performs non-linear system identification,"Rodrigo González Laiz, Steffen Schneider, Tobias Schmidt","ETHZ - ETH Zurich, Duale Hochschule Baden Württemberg (DHBW), RWTH Aachen University",ICLR 2025 Poster
"MAC-CAFE: Multi-actor, Centralized Critic Architecture for Feedback-driven Editing","Arjun Radhakrishna, Arun Iyer, Gustavo Soares, Krishna Kariya, Naman Gupta, Priyanshu Gupta, Shashank Kirtania, Sriram K. Rajamani, Sumit Gulwani, Suresh Parthasarathy Iyengar","Research, Microsoft, Indian Institute of Technology Bombay, Institute of Science and Technology, Indian Institute of Technology, Delhi, Microsoft, Universidade Federal de Campina Grande, Aalto University",Submitted to ICLR 2025
Achieving Exact Federated Unlearning with Improved Post-Unlearning Performance,"Arun Verma, Bolin Ding, Bryan Kian Hsiang Low, Ze Yu Zhang, Bui Thi Cam Nhung","Renmin University of China, Tsinghua University, Nanyang Technological University, Indian Institute of Technology Bombay, National University of Singapore",Submitted to ICLR 2025
Extending Flexibility of Image Coding Enhancement Framework for IoTs,"Chun Jason Xue, Hong Xu, Jingzong LI, Jun Wang, Nan Guan, Tei-Wei Kuo, Yu Mao","University of Texas at Austin, City University of Hong Kong, University of Electronic Science and Technology of China, University of Toronto, Hong Kong Polytechnic University",ICLR 2025 Conference Withdrawn Submission
Physics-Transfer Learning: A Framework to Address the Accuracy-Performance Dilemma in Modeling Complexity Problems in Engineering Sciences,"Yingjie Zhao, Zhiping Xu",Tsinghua University,Submitted to ICLR 2025
Exploring the Recall of Language Models: Case Study on Molecules,"Hasmik Mnatsakanyan, Hrant Khachatrian, Knarik Mheryan, Philipp Guevorguian","Yerevan State University, YerevaNN",Submitted to ICLR 2025
SNAP-TTA: Sparse Test-Time Adaptation for Latency-Sensitive Applications,"Dong Min Kim, Hye Won Chung, Hyeongheon Cha, Sung-Ju Lee, Taesik Gong","Korea Advanced Institute of Science & Technology, Massachusetts Institute of Technology, Yonsei University",Submitted to ICLR 2025
Recovering Plasticity of Neural Networks via Soft Weight Rescaling,"Isaac Han, Sangyeon Park, Seungwon Oh, KyungJoong Kim","Soongsil University, Gwangju Institute of Science and Technology",Submitted to ICLR 2025
BanglaGITI: A Novel Dataset for Bangla Music Genre Classification with A Comprehensive Analysis,"Jecin Saba, Kazi A. Kalpoma, Mohammad Tanveer Shams, Syeda Farhana Ali, Tasnim Munawar Rafee",Ahsanullah University of Science & Technology,ICLR 2025 Conference Desk Rejected Submission
Shared Memory for Multi-agent Lifelong Pathfinding,"Alsu Sagirova, Mikhail Burtsev, Yuri Kuratov",Moscow Institute of Physics and Technology,Submitted to ICLR 2025
DarkBench: Benchmarking Dark Patterns in Large Language Models,"Akash Kundu, Esben Kran, Hieu Minh Nguyen, Jinsuk Park, Mateusz Maria Jurewicz, Sami Jawhar","IT University of Copenhagen, University of Utah, Pohang University of Science and Technology, Apart Research, Aarhus University",ICLR 2025 Oral
"VeSX: A Framework Featured by Verification, Self-Correction and In-context Learning for Web Automation Tasks","Boxun Li, Lin Li, Qingmin Liao, Xinyi Yang, Yu Wang, Zhuyu Yao","Beijing University of Posts and Telecommunications, Tsinghua University, Tsinghua University, Tsinghua University",Submitted to ICLR 2025
Stochastic Sparse Sampling: A Framework for Variable-Length Medical Time Series Classification,"Alan Arnoldo Diaz Montiel, Hina Tabassum, Milad Lankarany, Xavier Mootoo","York University, Krembil Brain Institute - University Health Network, University Health Network",ICLR 2025 Conference Withdrawn Submission
OpenCity: A Scalable Platform to Simulate Urban Activities with Massive LLM Agents,"Fengli Xu, Jie Feng, Jingzhe Yuan, Jun Zhang, Qingbin Zeng, Yong Li, Yuwei Yan, Zhiheng Zheng","Hunan University, Tsinghua University, Tsinghua University, Wuhan University",Submitted to ICLR 2025
Structure-Aware Parameter-Efficient Machine Unlearning on Transformer Models,"Jian Lou, Jiaqi Liu, Kui Ren, Wenjie Bao, Xiaochen Li, Yuke Hu, Zhan Qin, Zhihao Liu","Emory University, Shandong University, Worcester Polytechnic Institute, Zhejiang University, University of Electronic Science and Technology of China, Wuhan University",Submitted to ICLR 2025
Large-Scale Multi-Agent Reinforcement Learning for Traffic Signal Optimization,"Alexander Prochnow, Jonas Otten, Lionel Peer, Magnus Müller","ETHZ - ETH Zurich, Universität Osnabrück",Submitted to ICLR 2025
MathOdyssey: Benchmarking Mathematical Problem-Solving Skills in Large Language Models Using Odyssey Math Data,"Fei Lu, Fei Xing, Kai Zou, Meng Fang, Xiangpeng Wan","University of Tennessee, Knoxville, Tencent AI Lab/Robotics X, Protagolabs Inc, Johns Hopkins University, Stevens Institute of Technology",ICLR 2025 Conference Withdrawn Submission
ESMGain: Effective and Efficient Prediction of Mutation’s functional Effect via ESM2 Transfer Learning and robust Benchmarks,Moritz Glaser,Charité - Universitätsmedizin Berlin,Submitted to ICLR 2025
MOMENTUM MEETS VIRALITY: A NOVEL METRIC FOR UNMASKING SOCIAL BIAS IN VIRAL TWEETS,"Arif Ahmad, Nihar Ranjan Sahoo, Nishtha Madaan, Pushpak Bhattacharyya","Indian Institute of Technology, Bombay, Dhirubhai Ambani Institute Of Information and Communication Technology, Mohamed bin Zayed University of Artificial Intelligence, Indian Institute of Science, Bangalore, International Business Machines",ICLR 2025 Conference Withdrawn Submission
KARPA: A Training-free Method of Adapting Knowledge Graph as References for Large Language Model's Reasoning Path Aggregation,"Ge Zhang, Kaijing Ma, Ningxuan Lu, Qingkun Tang, Siyuan Fang, Tianyu Zheng, Xeron Du","zte, University of California, San Diego, Tongji University, Beijing University of Posts and Telecommunications, Hangzhou Dianzi University",ICLR 2025 Conference Withdrawn Submission
Mitigating Privacy Risk of Adversarial Examples with Counterfactual Explanations,"Aohan Sun, ATHANASIOS V. VASILAKOS, Yanrong Lu","Civil Aviation University of China, ICT",Submitted to ICLR 2025
Sparse autoencoders reveal selective remapping of visual concepts during adaptation,"Hyesu Lim, Jaegul Choo, Jinho Choi, Steffen Schneider","Korea University, RWTH Aachen University",ICLR 2025 Poster
GenBen:A Genarative Benchmark for LLM-Aided Design,"Gwok-Waa Wan, Mengnv Xing, Nan Guan, Ning Xu, Qiang Xu, Yubo Wang, Xi Wang, Zhe jiang, jingyi zhang, ying wang, SamZaak Wong","eda, , Chinese Academy of Sciences, Southeast Community College Area, National Center of Technology Innovation for Electronic Design Automation, Southeast University, Northeastern University, Tsinghua University, Tsinghua University, The Chinese University of Hong Kong, Hong Kong Polytechnic University",Submitted to ICLR 2025
DySpec: Faster Speculative Decoding with Dynamic Token Tree Structure,"Lei Zou, Ruoyu Zhang, Tianhao Wu, Yanzeng Li, Yunfan Xiong","Chinese Academy of Sciences, Peking University, Huazhong University of Science and Technology",Submitted to ICLR 2025
